Biomarker,Units,
Copper,"μg/dL, μg/mL, μg/100mL, μg%, μg/L, mg/L, μmol/L",
Creatinine,"mg/dL, mg/100mL, mg%, mg/L, μg/mL, μmol/L, mmol/L",
Creatine Kinase,"U/L, IU/L, nkat/L, μkat/L, nmol/(s·L), μmol/(h·L), μmol/min·L, μmol/(h·mL), μmol/(h·mL)",
Albumin,"g/dL, g/L, g/100mL, g%, mg/mL, mmol/L, μmol/L",
Plasma Glucose,"mg/dL, mg/L, mg/100mL, mg%, μg/mL, mmol/L, μmol/L",
Insulin,"μIU/mL, mIU/L, pmol/L",
Total Cholesterol,"mg/dL, mg/L, mg/100mL, mg%, µg/mL, mmol/L, µmol/L",
HDL Cholesterol,"mg/dL, mg/L, mg/100mL, mg%, µg/mL, mmol/L, µmol/L",
LDL Cholesterol,"mg/dL, mg/L, mg/100mL, mg%, µg/mL, mmol/L, µmol/L",
Triglycerides,"mg/dL, mg/L, mg/100mL, mg%, µg/mL, mmol/L, µmol/L",
Apolipoprotein A1,"mg/dL, g/L, mg/100mL, mg%, mg/mL, mmol/L, µmol/L",
Apolipoprotein B,"mg/dL, g/L, mg/100mL, mg%, mg/mL, mmol/L, µmol/L",
Homocysteine,"mg/dL, mg/L, mg/100mL, mg%, µg/mL, µmol/L",
Lipoprotein Lp(a),"mg/dL, g/L, mg/L, mg/100mL, mg%, mg/mL, nmol/L",
LP-PLA2 activity (PLAC test),nmol/min/mL,
LP-PLA2 mass,ng/mL,
C-Reactive Protein,"mg/dL, g/L, mg/L, mg/100mL, mg%, µg/mL, nmol/L",
Vitamin D (25-OH),"ng/mL, ng/dL, ng/100mL, ng%, ng/L, µg/L, nmol/L",
Vitamin B12,"ng/L, pg/L, pg%, pg/100mL, pg/dL, pg/mL, pmol/L",
Vitamin B1 (Thiamine),"ng/mL, μg/L, μg/dL, μg/100mL, μg%, nmol/L",
Vitamin B2 (Riboflavin),"ng/mL, μg/L, μg/dL, μg/100mL, μg%, nmol/L",
Vitamin B7 (Biotin),"ng/L, ng/dL, ng/100mL, ng%, pg/mL, nmol/L",
Vitamin B3 (Niacin),"ng/mL, μg/L, μg/dL, μg/100mL, μg%",
Folate (B9),"ng/mL, ng/L, ng/dL, ng/100mL, ng%, μg/L, nmol/L, pmol/L",
Holotranscobalamin,"ng/L, pg/L, pg%, pg/100mL, pg/dL, pg/mL, pmol/L",
Vitamin B6 (Pyridoxine),"ng/mL, μg/L, μg/dL, μg/100mL, μg%, nmol/L",
